Timestamp,GSR Value,Smoothed Value,Conductivity (µS)
2025-01-12 14:53:05,647,647.00,33.74
2025-01-12 14:53:05,644,644.00,33.32
2025-01-12 14:53:05,645,645.00,33.46
2025-01-12 14:53:05,646,646.00,33.60
2025-01-12 14:53:05,645,645.00,33.46
2025-01-12 14:53:05,645,645.00,33.46
2025-01-12 14:53:05,646,646.00,33.60
2025-01-12 14:53:05,644,644.00,33.32
2025-01-12 14:53:05,645,644.96,33.46
2025-01-12 14:53:05,644,644.38,33.32
2025-01-12 14:53:05,643,643.79,33.18
2025-01-12 14:53:05,644,643.75,33.32
2025-01-12 14:53:05,643,643.39,33.18
2025-01-12 14:53:05,643,643.16,33.18
2025-01-12 14:53:05,645,643.98,33.46
2025-01-12 14:53:05,643,643.63,33.18
2025-01-12 14:53:05,644,643.85,33.32
2025-01-12 14:53:05,646,644.80,33.60
2025-01-12 14:53:05,644,644.58,33.32
2025-01-12 14:53:05,644,644.31,33.32
2025-01-12 14:53:05,643,643.73,33.18
2025-01-12 14:53:05,643,643.37,33.18
2025-01-12 14:53:05,643,643.04,33.18
2025-01-12 14:53:05,643,642.83,33.18
2025-01-12 14:53:05,643,642.92,33.18
2025-01-12 14:53:05,644,643.56,33.32
2025-01-12 14:53:05,643,643.35,33.18
2025-01-12 14:53:05,643,643.25,33.18
2025-01-12 14:53:05,643,643.10,33.18
2025-01-12 14:53:05,644,643.48,33.32
2025-01-12 14:53:05,646,644.52,33.60
2025-01-12 14:53:05,643,644.00,33.18
2025-01-12 14:53:05,644,644.07,33.32
2025-01-12 14:53:05,643,643.72,33.18
2025-01-12 14:53:06,643,643.28,33.18
2025-01-12 14:53:06,645,643.72,33.46
2025-01-12 14:53:06,644,643.90,33.32
2025-01-12 14:53:06,645,644.49,33.46
2025-01-12 14:53:06,643,644.11,33.18
2025-01-12 14:53:06,646,644.86,33.60
2025-01-12 14:53:06,643,644.07,33.18
2025-01-12 14:53:06,643,643.49,33.18
2025-01-12 14:53:06,640,641.82,32.77
2025-01-12 14:53:06,645,643.17,33.46
2025-01-12 14:53:06,643,642.89,33.18
2025-01-12 14:53:06,645,643.89,33.46
2025-01-12 14:53:06,642,643.17,33.04
2025-01-12 14:53:06,644,643.99,33.32
2025-01-12 14:53:06,641,642.48,32.90
2025-01-12 14:53:06,643,642.53,33.18
2025-01-12 14:53:06,646,643.64,33.60
2025-01-12 14:53:06,643,643.81,33.18
2025-01-12 14:53:06,643,643.41,33.18
2025-01-12 14:53:06,643,643.52,33.18
2025-01-12 14:53:06,643,643.19,33.18
2025-01-12 14:53:06,645,643.75,33.46
2025-01-12 14:53:06,644,643.73,33.32
2025-01-12 14:53:06,644,644.06,33.32
2025-01-12 14:53:06,643,643.87,33.18
2025-01-12 14:53:06,644,643.82,33.32
2025-01-12 14:53:06,643,643.32,33.18
2025-01-12 14:53:06,641,642.21,32.90
2025-01-12 14:53:06,644,642.82,33.32
2025-01-12 14:53:06,644,643.48,33.32
2025-01-12 14:53:06,643,643.26,33.18
2025-01-12 14:53:06,644,643.62,33.32
2025-01-12 14:53:06,646,644.86,33.60
2025-01-12 14:53:06,644,644.64,33.32
2025-01-12 14:53:06,645,644.70,33.46
2025-01-12 14:53:06,643,643.94,33.18
2025-01-12 14:53:06,641,642.76,32.90
2025-01-12 14:53:06,643,642.50,33.18
2025-01-12 14:53:06,644,642.95,33.32
2025-01-12 14:53:06,643,642.94,33.18
2025-01-12 14:53:06,643,643.15,33.18
2025-01-12 14:53:06,644,643.71,33.32
2025-01-12 14:53:06,644,644.01,33.32
2025-01-12 14:53:06,644,643.86,33.32
2025-01-12 14:53:06,644,643.83,33.32
2025-01-12 14:53:06,643,643.62,33.18
2025-01-12 14:53:06,644,643.77,33.32
2025-01-12 14:53:06,642,642.90,33.04
2025-01-12 14:53:06,644,643.25,33.32
2025-01-12 14:53:06,643,643.15,33.18
2025-01-12 14:53:06,644,643.57,33.32
2025-01-12 14:53:06,644,643.76,33.32
2025-01-12 14:53:06,644,644.03,33.32
2025-01-12 14:53:06,644,643.98,33.32
2025-01-12 14:53:06,640,642.36,32.77
2025-01-12 14:53:06,645,643.19,33.46
2025-01-12 14:53:06,643,643.14,33.18
2025-01-12 14:53:06,643,642.98,33.18
2025-01-12 14:53:06,643,642.98,33.18
2025-01-12 14:53:06,643,643.30,33.18
2025-01-12 14:53:06,645,643.94,33.46
2025-01-12 14:53:06,643,643.57,33.18
2025-01-12 14:53:06,645,644.02,33.46
2025-01-12 14:53:06,644,644.35,33.32
2025-01-12 14:53:06,643,643.76,33.18
2025-01-12 14:53:06,645,644.12,33.46
2025-01-12 14:53:06,644,644.12,33.32
2025-01-12 14:53:06,644,643.99,33.32
2025-01-12 14:53:06,644,644.07,33.32
2025-01-12 14:53:06,643,643.62,33.18
2025-01-12 14:53:06,644,643.76,33.32
2025-01-12 14:53:06,644,643.78,33.32
2025-01-12 14:53:06,644,643.82,33.32
2025-01-12 14:53:06,643,643.58,33.18
2025-01-12 14:53:06,643,643.34,33.18
2025-01-12 14:53:06,643,643.15,33.18
2025-01-12 14:53:06,643,643.00,33.18
2025-01-12 14:53:06,643,642.88,33.18
2025-01-12 14:53:06,644,643.43,33.32
2025-01-12 14:53:06,644,643.78,33.32
2025-01-12 14:53:06,644,643.97,33.32
2025-01-12 14:53:06,644,644.01,33.32
2025-01-12 14:53:06,644,644.06,33.32
2025-01-12 14:53:06,645,644.43,33.46
2025-01-12 14:53:06,644,644.24,33.32
2025-01-12 14:53:06,643,643.69,33.18
2025-01-12 14:53:06,643,643.38,33.18
2025-01-12 14:53:06,640,641.86,32.77
2025-01-12 14:53:06,643,642.06,33.18
2025-01-12 14:53:06,643,642.34,33.18
2025-01-12 14:53:06,643,642.68,33.18
2025-01-12 14:53:06,645,643.82,33.46
2025-01-12 14:53:06,644,644.27,33.32
2025-01-12 14:53:06,643,643.81,33.18
2025-01-12 14:53:06,643,643.42,33.18
2025-01-12 14:53:06,643,643.02,33.18
2025-01-12 14:53:06,644,643.36,33.32
2025-01-12 14:53:06,643,643.12,33.18
2025-01-12 14:53:06,644,643.54,33.32
2025-01-12 14:53:06,641,642.65,32.90
2025-01-12 14:53:06,643,642.72,33.18
2025-01-12 14:53:06,643,642.68,33.18
2025-01-12 14:53:06,644,643.23,33.32
2025-01-12 14:53:06,644,643.54,33.32
2025-01-12 14:53:07,644,644.04,33.32
2025-01-12 14:53:07,644,644.10,33.32
2025-01-12 14:53:07,643,643.71,33.18
2025-01-12 14:53:07,643,643.15,33.18
2025-01-12 14:53:07,644,643.47,33.32
